workclass:Private, Precision:0.73, Recall:0.62, Fbeta:0.67
workclass:Local-gov, Precision:0.71, Recall:0.66, Fbeta:0.68
workclass:Self-emp-not-inc, Precision:0.8, Recall:0.49, Fbeta:0.6
workclass:State-gov, Precision:0.82, Recall:0.66, Fbeta:0.73
workclass:Federal-gov, Precision:0.81, Recall:0.71, Fbeta:0.76
workclass:Self-emp-inc, Precision:0.76, Recall:0.83, Fbeta:0.8
workclass:Without-pay, Precision:1.0, Recall:1.0, Fbeta:1.0
education:Bachelors, Precision:0.73, Recall:0.76, Fbeta:0.75
education:7th-8th, Precision:1.0, Recall:0.15, Fbeta:0.27
education:9th, Precision:1.0, Recall:0.0, Fbeta:0.0
education:HS-grad, Precision:0.61, Recall:0.39, Fbeta:0.48
education:Assoc-voc, Precision:0.74, Recall:0.61, Fbeta:0.67
education:Some-college, Precision:0.74, Recall:0.51, Fbeta:0.61
education:Masters, Precision:0.83, Recall:0.82, Fbeta:0.83
education:Preschool, Precision:1.0, Recall:1.0, Fbeta:1.0
education:11th, Precision:1.0, Recall:0.4, Fbeta:0.57
education:Doctorate, Precision:0.84, Recall:0.91, Fbeta:0.87
education:Assoc-acdm, Precision:0.72, Recall:0.57, Fbeta:0.64
education:5th-6th, Precision:1.0, Recall:0.33, Fbeta:0.5
education:Prof-school, Precision:0.84, Recall:0.92, Fbeta:0.88
education:12th, Precision:1.0, Recall:0.5, Fbeta:0.67
education:10th, Precision:0.6, Recall:0.2, Fbeta:0.3
education:1st-4th, Precision:1.0, Recall:1.0, Fbeta:1.0
marital-status:Married-civ-spouse, Precision:0.74, Recall:0.69, Fbeta:0.71
marital-status:Never-married, Precision:0.89, Recall:0.35, Fbeta:0.5
marital-status:Divorced, Precision:0.76, Recall:0.36, Fbeta:0.49
marital-status:Married-spouse-absent, Precision:1.0, Recall:0.56, Fbeta:0.71
marital-status:Widowed, Precision:0.75, Recall:0.17, Fbeta:0.27
